商品コード,商品名,商品名（前）,サイズ,商品+サイズ,カテゴリ,販売定価,消費税込み,FC卸,FC利益,FC利益率,FC原価率,在庫数,商品画像,期,商品名+サイズ+期,商品名+期,商品名+期 (1),親レコード
,【完成プラン】ネックレス透_60㌢,ネックレス透,ネックレス60㌢,ネックレス透_ネックレス60㌢,アクセサリー,4100,"¥4,510",1229,"¥2,871",70%,30%,,,0期,ネックレス透_ネックレス60㌢_0期,【完成プラン】ネックレス透_60㌢+0期,【完成プラン】ネックレス透_60㌢+0期,
,【製造プラン】ネックレス透_60㌢,ネックレス透,ネックレス60㌢,ネックレス透_ネックレス60㌢,アクセサリー,4100,"¥4,510",1129,"¥2,971",72%,28%,,,0期,ネックレス透_ネックレス60㌢_0期,【製造プラン】ネックレス透_60㌢+0期,【製造プラン】ネックレス透_60㌢+0期,
,【完成プラン】ネックレス透_45㌢,ネックレス透,ネックレス45㌢,ネックレス透_ネックレス45㌢,アクセサリー,3900,"¥4,290",1366,"¥2,534",65%,35%,,,0.5期,ネックレス透_ネックレス45㌢_0.5期,【完成プラン】ネックレス透_45㌢+0.5期,【完成プラン】ネックレス透_45㌢+0.5期,
,【製造プラン】ネックレス透_45㌢,ネックレス透,ネックレス45㌢,ネックレス透_ネックレス45㌢,アクセサリー,3900,"¥4,290",1266,"¥2,634",68%,32%,,,0.5期,ネックレス透_ネックレス45㌢_0.5期,【製造プラン】ネックレス透_45㌢+0.5期,【製造プラン】ネックレス透_45㌢+0.5期,
,【完成プラン】ネックレス透_50㌢,ネックレス透,ネックレス50㌢,ネックレス透_ネックレス50㌢,アクセサリー,3900,"¥4,290",1366,"¥2,534",65%,35%,,,0.5期,ネックレス透_ネックレス50㌢_0.5期,【完成プラン】ネックレス透_50㌢+0.5期,【完成プラン】ネックレス透_50㌢+0.5期,
,【製造プラン】ネックレス透_50㌢,ネックレス透,ネックレス50㌢,ネックレス透_ネックレス50㌢,アクセサリー,3900,"¥4,290",1266,"¥2,634",68%,32%,,,0.5期,ネックレス透_ネックレス50㌢_0.5期,【製造プラン】ネックレス透_50㌢+0.5期,【製造プラン】ネックレス透_50㌢+0.5期,
,【完成プラン】ネックレス透_60㌢,ネックレス透,ネックレス60㌢,ネックレス透_ネックレス60㌢,アクセサリー,4100,"¥4,510",1434,"¥2,666",65%,35%,,,0.5期,ネックレス透_ネックレス60㌢_0.5期,【完成プラン】ネックレス透_60㌢+0.5期,【完成プラン】ネックレス透_60㌢+0.5期,
,【製造プラン】ネックレス透_60㌢,ネックレス透,ネックレス60㌢,ネックレス透_ネックレス60㌢,アクセサリー,4100,"¥4,510",1334,"¥2,766",67%,33%,,,0.5期,ネックレス透_ネックレス60㌢_0.5期,【製造プラン】ネックレス透_60㌢+0.5期,【製造プラン】ネックレス透_60㌢+0.5期,
,【完成プラン】ネックレス赤_45㌢,ネックレス赤,ネックレス45㌢,ネックレス赤_ネックレス45㌢,アクセサリー,5500,"¥6,050",1692,"¥3,808",69%,31%,,,0期,ネックレス赤_ネックレス45㌢_0期,【完成プラン】ネックレス赤_45㌢+0期,【完成プラン】ネックレス赤_45㌢+0期,
,【製造プラン】ネックレス赤_45㌢,ネックレス赤,ネックレス45㌢,ネックレス赤_ネックレス45㌢,アクセサリー,5500,"¥6,050",1592,"¥3,908",71%,29%,,,0期,ネックレス赤_ネックレス45㌢_0期,【製造プラン】ネックレス赤_45㌢+0期,【製造プラン】ネックレス赤_45㌢+0期,
